Image_Path,Wall_Length_Meters,Bricks,Cement_Bags,Sand_Volume_m3
ideathon\images\27_19.jpg,1688.03,296146,1013,4051.27
ideathon\images\27_2.jpg,2035.89,357174,1222,4886.14
ideathon\images\27_20.jpg,1940.48,340435,1164,4657.15
ideathon\images\27_21.jpg,1681.14,294937,1009,4034.74
ideathon\images\27_22.jpg,4111.76,721361,2467,9868.22
ideathon\images\27_23.jpg,1392.23,244251,835,3341.35
ideathon\images\27_24.jpg,1126.21,197581,676,2702.9
ideathon\images\27_25.jpg,1780.67,312398,1068,4273.61
ideathon\images\27_26.jpg,2427.3,425842,1456,5825.52
ideathon\images\27_27.jpg,2385.46,418502,1431,5725.1
ideathon\images\27_28.jpg,2322.49,407454,1393,5573.98
ideathon\images\27_29.jpg,1923.6,337474,1154,4616.64
ideathon\images\27_3.jpg,1363.65,239237,818,3272.76
ideathon\images\27_30.jpg,2293.07,402293,1376,5503.37
ideathon\images\27_4.jpg,2305.53,404479,1383,5533.27
ideathon\images\27_5.jpg,5254.19,921788,3153,12610.06
ideathon\images\27_6.jpg,2290.4,401825,1374,5496.96
ideathon\images\27_7.jpg,1682.56,295186,1010,4038.14
ideathon\images\27_8.jpg,1003.29,176016,602,2407.9
ideathon\images\27_9.jpg,1866.6,327474,1120,4479.84
ideathon\images\28_1.jpg,1936.77,339784,1162,4648.25
ideathon\images\28_10.jpg,2427.3,425842,1456,5825.52
ideathon\images\28_11.jpg,2354.39,413051,1413,5650.54
ideathon\images\28_12.jpg,961.44,168674,577,2307.46
ideathon\images\28_13.jpg,3586.16,629151,2152,8606.78
ideathon\images\28_14.jpg,3343.1,586509,2006,8023.44
ideathon\images\28_15.jpg,655.56,115011,393,1573.34
ideathon\images\28_16.jpg,2588.07,454047,1553,6211.37
ideathon\images\28_17.jpg,1384.28,242856,831,3322.27
ideathon\images\28_18.jpg,1467.07,257381,880,3520.97
ideathon\images\28_19.jpg,1480.16,259677,888,3552.38
ideathon\images\28_2.jpg,1866.6,327474,1120,4479.84
ideathon\images\28_20.jpg,1698.31,297949,1019,4075.94
ideathon\images\28_21.jpg,1498.78,262944,899,3597.07
ideathon\images\28_22.jpg,2120.23,371970,1272,5088.55
ideathon\images\28_23.jpg,1956.0,343158,1174,4694.4
ideathon\images\28_24.jpg,2561.65,449412,1537,6147.96
ideathon\images\28_25.jpg,2661.18,466874,1597,6386.83
ideathon\images\28_26.jpg,615.98,108067,370,1478.35
ideathon\images\28_27.jpg,1795.89,315068,1078,4310.14
ideathon\images\28_28.jpg,2178.04,382112,1307,5227.3
ideathon\images\28_29.jpg,1811.14,317744,1087,4346.74
ideathon\images\28_3.jpg,875.5,153596,525,2101.2
ideathon\images\28_30.jpg,716.52,125705,430,1719.65
ideathon\images\28_4.jpg,1400.87,245767,841,3362.09
ideathon\images\28_5.jpg,2099.55,368342,1260,5038.92
ideathon\images\28_6.jpg,2386.77,418732,1432,5728.25
ideathon\images\28_7.jpg,1681.14,294937,1009,4034.74
ideathon\images\28_8.jpg,4111.76,721361,2467,9868.22
ideathon\images\28_9.jpg,1126.21,197581,676,2702.9
ideathon\images\2_1.jpg,933.95,163851,560,2241.48
ideathon\images\2_10.jpg,2659.55,466588,1596,6382.92
ideathon\images\2_11.jpg,1481.01,259826,889,3554.42
ideathon\images\2_12.jpg,673.5,118158,404,1616.4
ideathon\images\2_13.jpg,1904.67,334153,1143,4571.21
ideathon\images\2_14.jpg,2698.73,473461,1619,6476.95
ideathon\images\2_15.jpg,1227.13,215286,736,2945.11
ideathon\images\2_16.jpg,773.19,135647,464,1855.66
ideathon\images\2_17.jpg,1153.26,202326,692,2767.82
ideathon\images\2_18.jpg,1811.14,317744,1087,4346.74
ideathon\images\2_19.jpg,2330.06,408782,1398,5592.14
ideathon\images\2_2.jpg,845.23,148286,507,2028.55
ideathon\images\2_20.jpg,854.89,149981,513,2051.74
ideathon\images\2_21.jpg,2176.3,381807,1306,5223.12
ideathon\images\2_22.jpg,2015.01,353511,1209,4836.02
ideathon\images\2_23.jpg,2321.98,407365,1393,5572.75
ideathon\images\2_24.jpg,1384.09,242823,830,3321.82
ideathon\images\2_25.jpg,1927.59,338174,1157,4626.22
ideathon\images\2_26.jpg,1611.83,282777,967,3868.39
ideathon\images\2_27.jpg,1164.03,204216,698,2793.67
ideathon\images\2_28.jpg,2507.2,439860,1504,6017.28
ideathon\images\2_29.jpg,1523.75,267325,914,3657.0
ideathon\images\2_3.jpg,1288.63,226075,773,3092.71
ideathon\images\2_30.jpg,1701.89,298577,1021,4084.54
ideathon\images\2_4.jpg,1087.15,190728,652,2609.16
ideathon\images\2_5.jpg,1528.31,268125,917,3667.94
ideathon\images\2_6.jpg,0.0,0,0,0.0
ideathon\images\2_7.jpg,1364.81,239440,819,3275.54
ideathon\images\2_8.jpg,1480.16,259677,888,3552.38
ideathon\images\2_9.jpg,1498.78,262944,899,3597.07
ideathon\images\30_1.jpg,1975.6,346596,1185,4741.44
ideathon\images\30_10.jpg,559.77,98205,336,1343.45
ideathon\images\30_11.jpg,1216.58,213435,730,2919.79
ideathon\images\30_12.jpg,3595.43,630777,2157,8629.03
ideathon\images\30_13.jpg,1705.1,299140,1023,4092.24
ideathon\images\30_14.jpg,1253.88,219979,752,3009.31
ideathon\images\30_15.jpg,443.8,77860,266,1065.12
ideathon\images\30_16.jpg,1729.08,303347,1037,4149.79
ideathon\images\30_17.jpg,1442.97,253153,866,3463.13
ideathon\images\30_18.jpg,7524.74,1320130,4515,18059.38
ideathon\images\30_19.jpg,802.6,140807,482,1926.24
ideathon\images\30_2.jpg,3586.16,629151,2152,8606.78
ideathon\images\30_20.jpg,4179.08,733172,2507,10029.79
ideathon\images\30_21.jpg,2562.41,449546,1537,6149.78
ideathon\images\30_22.jpg,2165.96,379993,1300,5198.3
ideathon\images\30_23.jpg,899.63,157830,540,2159.11
ideathon\images\30_24.jpg,632.85,111026,380,1518.84
ideathon\images\30_25.jpg,452.81,79440,272,1086.74
ideathon\images\30_26.jpg,1491.81,261721,895,3580.34
ideathon\images\30_27.jpg,2198.48,385698,1319,5276.35
ideathon\images\30_28.jpg,1035.99,181753,622,2486.38
ideathon\images\30_29.jpg,2077.44,364463,1246,4985.86
ideathon\images\30_3.jpg,2087.21,366177,1252,5009.3
ideathon\images\30_30.jpg,924.14,162130,554,2217.94
ideathon\images\30_4.jpg,1686.37,295854,1012,4047.29
ideathon\images\30_5.jpg,2801.53,491496,1681,6723.67
ideathon\images\30_6.jpg,1480.16,259677,888,3552.38
ideathon\images\30_7.jpg,3782.07,663521,2269,9076.97
ideathon\images\30_8.jpg,756.39,132700,454,1815.34
ideathon\images\30_9.jpg,816.45,143237,490,1959.48
ideathon\images\31_1.jpg,2120.23,371970,1272,5088.55
ideathon\images\31_10.jpg,2322.49,407454,1393,5573.98
ideathon\images\31_11.jpg,3437.03,602988,2062,8248.87
ideathon\images\31_12.jpg,1999.88,350856,1200,4799.71
ideathon\images\31_13.jpg,2354.39,413051,1413,5650.54
ideathon\images\31_14.jpg,2520.06,442116,1512,6048.14
ideathon\images\31_15.jpg,2427.33,425847,1456,5825.59
ideathon\images\31_16.jpg,2774.1,486684,1664,6657.84
ideathon\images\31_17.jpg,1613.14,283007,968,3871.54
ideathon\images\31_18.jpg,1848.1,324228,1109,4435.44
ideathon\images\31_19.jpg,2336.92,409986,1402,5608.61
ideathon\images\31_2.jpg,2290.4,401825,1374,5496.96
ideathon\images\31_20.jpg,2135.55,374658,1281,5125.32
ideathon\images\31_21.jpg,733.05,128605,440,1759.32
ideathon\images\31_22.jpg,1006.0,176491,604,2414.4
ideathon\images\31_23.jpg,1062.81,186458,638,2550.74
ideathon\images\31_24.jpg,1555.63,272918,933,3733.51
ideathon\images\31_25.jpg,2209.16,387572,1325,5301.98
ideathon\images\31_26.jpg,1274.65,223623,765,3059.16
ideathon\images\31_27.jpg,4431.5,777456,2659,10635.6
ideathon\images\31_28.jpg,2077.6,364491,1247,4986.24
ideathon\images\31_29.jpg,1360.24,238639,816,3264.58
ideathon\images\31_3.jpg,1003.29,176016,602,2407.9
ideathon\images\31_30.jpg,1416.18,248453,850,3398.83
ideathon\images\31_4.jpg,2076.91,364370,1246,4984.58
ideathon\images\31_5.jpg,1109.05,194570,665,2661.72
ideathon\images\31_6.jpg,2386.77,418732,1432,5728.25
ideathon\images\31_7.jpg,1688.03,296146,1013,4051.27
ideathon\images\31_8.jpg,1940.48,340435,1164,4657.15
ideathon\images\31_9.jpg,2385.46,418502,1431,5725.1
ideathon\images\32_1.jpg,2286.44,401130,1372,5487.46
ideathon\images\32_10.jpg,2330.06,408782,1398,5592.14
ideathon\images\32_11.jpg,1019.48,178856,612,2446.75
ideathon\images\32_12.jpg,2254.58,395540,1353,5410.99
ideathon\images\32_13.jpg,918.78,161189,551,2205.07
ideathon\images\32_14.jpg,1323.69,232226,794,3176.86
ideathon\images\32_15.jpg,1770.09,310542,1062,4248.22
ideathon\images\32_16.jpg,883.55,155009,530,2120.52
ideathon\images\32_17.jpg,802.6,140807,482,1926.24
ideathon\images\32_18.jpg,418.97,73504,251,1005.53
ideathon\images\32_19.jpg,2471.65,433623,1483,5931.96
ideathon\images\32_2.jpg,1151.33,201988,691,2763.19
ideathon\images\32_20.jpg,1900.81,333475,1140,4561.94
ideathon\images\32_21.jpg,787.51,138160,473,1890.02
ideathon\images\32_22.jpg,1482.99,260174,890,3559.18
ideathon\images\32_23.jpg,2330.55,408868,1398,5593.32
ideathon\images\32_24.jpg,895.39,157086,537,2148.94
ideathon\images\32_25.jpg,1487.88,261032,893,3570.91
ideathon\images\32_26.jpg,1142.6,200456,686,2742.24
ideathon\images\32_27.jpg,3240.16,568449,1944,7776.38
ideathon\images\32_28.jpg,1977.85,346991,1187,4746.84
ideathon\images\32_29.jpg,1108.03,194391,665,2659.27
ideathon\images\32_3.jpg,3586.16,629151,2152,8606.78
ideathon\images\32_30.jpg,925.73,162409,555,2221.75
ideathon\images\32_4.jpg,5632.67,988188,3380,13518.41
ideathon\images\32_5.jpg,2611.47,458153,1567,6267.53
ideathon\images\32_6.jpg,2838.59,497998,1703,6812.62
ideathon\images\32_7.jpg,2801.53,491496,1681,6723.67
ideathon\images\32_8.jpg,1467.07,257381,880,3520.97
ideathon\images\32_9.jpg,1379.56,242028,828,3310.94
ideathon\images\33_1.jpg,1284.52,225354,771,3082.85
ideathon\images\33_10.jpg,1688.03,296146,1013,4051.27
ideathon\images\33_11.jpg,1940.48,340435,1164,4657.15
ideathon\images\33_12.jpg,4111.76,721361,2467,9868.22
ideathon\images\33_13.jpg,1126.21,197581,676,2702.9
ideathon\images\33_14.jpg,1780.67,312398,1068,4273.61
ideathon\images\33_15.jpg,1826.62,320460,1096,4383.89
ideathon\images\33_16.jpg,2427.3,425842,1456,5825.52
ideathon\images\33_17.jpg,2322.49,407454,1393,5573.98
ideathon\images\33_18.jpg,2293.07,402293,1376,5503.37
ideathon\images\33_19.jpg,2327.31,408300,1396,5585.54
ideathon\images\33_2.jpg,2035.89,357174,1222,4886.14
ideathon\images\33_20.jpg,2427.05,425798,1456,5824.92
ideathon\images\33_21.jpg,1027.0,180175,616,2464.8
ideathon\images\33_22.jpg,2742.09,481068,1645,6581.02
ideathon\images\33_23.jpg,3437.03,602988,2062,8248.87
ideathon\images\33_24.jpg,4975.58,872909,2985,11941.39
ideathon\images\33_25.jpg,2318.8,406807,1391,5565.12
ideathon\images\33_26.jpg,1463.78,256804,878,3513.07
ideathon\images\33_27.jpg,1999.88,350856,1200,4799.71
ideathon\images\33_28.jpg,1052.25,184605,631,2525.4
ideathon\images\33_29.jpg,2354.39,413051,1413,5650.54
ideathon\images\33_3.jpg,1003.29,176016,602,2407.9
ideathon\images\33_30.jpg,2520.06,442116,1512,6048.14
ideathon\images\33_4.jpg,2076.91,364370,1246,4984.58
ideathon\images\33_5.jpg,1069.55,187640,642,2566.92
ideathon\images\33_6.jpg,1400.87,245767,841,3362.09
ideathon\images\33_7.jpg,1109.05,194570,665,2661.72
ideathon\images\33_8.jpg,2386.77,418732,1432,5728.25
ideathon\images\33_9.jpg,1300.54,228165,780,3121.3
ideathon\images\34_1.jpg,1014.79,178033,609,2435.5
ideathon\images\34_10.jpg,3437.03,602988,2062,8248.87
ideathon\images\34_11.jpg,1288.63,226075,773,3092.71
ideathon\images\34_12.jpg,1089.33,191111,654,2614.39
ideathon\images\34_13.jpg,2520.06,442116,1512,6048.14
ideathon\images\34_14.jpg,2005.66,351870,1203,4813.58
ideathon\images\34_15.jpg,3586.16,629151,2152,8606.78
ideathon\images\34_16.jpg,1848.1,324228,1109,4435.44
ideathon\images\34_17.jpg,1603.8,281368,962,3849.12
ideathon\images\34_18.jpg,1145.2,200912,687,2748.48
ideathon\images\34_19.jpg,2087.21,366177,1252,5009.3
ideathon\images\34_2.jpg,1003.29,176016,602,2407.9
ideathon\images\34_20.jpg,2173.69,381349,1304,5216.86
ideathon\images\34_21.jpg,3343.1,586509,2006,8023.44
ideathon\images\34_22.jpg,1319.19,231437,792,3166.06
ideathon\images\34_23.jpg,2356.97,413504,1414,5656.73
ideathon\images\34_24.jpg,1074.84,188568,645,2579.62
ideathon\images\34_25.jpg,2336.92,409986,1402,5608.61
ideathon\images\34_26.jpg,862.04,151235,517,2068.9
ideathon\images\34_27.jpg,1528.31,268125,917,3667.94
ideathon\images\34_28.jpg,1493.76,262063,896,3585.02
ideathon\images\34_29.jpg,2762.96,484730,1658,6631.1
ideathon\images\34_3.jpg,996.18,174768,598,2390.83
ideathon\images\34_30.jpg,2801.53,491496,1681,6723.67
ideathon\images\34_4.jpg,2076.91,364370,1246,4984.58
ideathon\images\34_5.jpg,1109.05,194570,665,2661.72
ideathon\images\34_6.jpg,1826.62,320460,1096,4383.89
ideathon\images\34_7.jpg,2427.05,425798,1456,5824.92
ideathon\images\34_8.jpg,1027.0,180175,616,2464.8
ideathon\images\34_9.jpg,2742.09,481068,1645,6581.02
ideathon\images\35_1.jpg,1270.5,222895,762,3049.2
ideathon\images\35_10.jpg,1400.87,245767,841,3362.09
ideathon\images\35_11.jpg,1239.46,217449,744,2974.7
ideathon\images\35_12.jpg,1109.05,194570,665,2661.72
ideathon\images\35_13.jpg,1681.14,294937,1009,4034.74
ideathon\images\35_14.jpg,4111.76,721361,2467,9868.22
ideathon\images\35_15.jpg,1392.23,244251,835,3341.35
ideathon\images\35_16.jpg,1126.21,197581,676,2702.9
ideathon\images\35_17.jpg,1780.67,312398,1068,4273.61
ideathon\images\35_18.jpg,2427.3,425842,1456,5825.52
ideathon\images\35_19.jpg,2385.46,418502,1431,5725.1
ideathon\images\35_2.jpg,1363.65,239237,818,3272.76
ideathon\images\35_20.jpg,2322.49,407454,1393,5573.98
ideathon\images\35_21.jpg,1923.6,337474,1154,4616.64
ideathon\images\35_22.jpg,2293.07,402293,1376,5503.37
ideathon\images\35_23.jpg,2327.31,408300,1396,5585.54
ideathon\images\35_24.jpg,3437.03,602988,2062,8248.87
ideathon\images\35_25.jpg,4975.58,872909,2985,11941.39
ideathon\images\35_26.jpg,1089.33,191111,654,2614.39
ideathon\images\35_27.jpg,1999.88,350856,1200,4799.71
ideathon\images\35_28.jpg,2416.25,423904,1450,5799.0
ideathon\images\35_29.jpg,1052.25,184605,631,2525.4
ideathon\images\35_3.jpg,5254.19,921788,3153,12610.06
ideathon\images\35_30.jpg,2354.39,413051,1413,5650.54
ideathon\images\35_4.jpg,2290.4,401825,1374,5496.96
ideathon\images\35_5.jpg,1003.29,176016,602,2407.9
ideathon\images\35_6.jpg,1306.18,229154,784,3134.83
ideathon\images\35_7.jpg,2244.5,393772,1347,5386.8
ideathon\images\35_8.jpg,2076.91,364370,1246,4984.58
ideathon\images\35_9.jpg,1069.55,187640,642,2566.92
ideathon\images\36_1.jpg,2961.97,519644,1777,7108.73
ideathon\images\36_10.jpg,2041.92,358232,1225,4900.61
ideathon\images\36_11.jpg,1267.02,222284,760,3040.85
ideathon\images\36_12.jpg,1062.81,186458,638,2550.74
ideathon\images\36_13.jpg,1906.42,334460,1144,4575.41
ideathon\images\36_14.jpg,1789.3,313912,1074,4294.32
ideathon\images\36_15.jpg,2077.6,364491,1247,4986.24
ideathon\images\36_16.jpg,1498.78,262944,899,3597.07
ideathon\images\36_17.jpg,2640.11,463177,1584,6336.26
ideathon\images\36_18.jpg,1960.05,343868,1176,4704.12
ideathon\images\36_19.jpg,1712.0,300351,1027,4108.8
ideathon\images\36_2.jpg,2035.89,357174,1222,4886.14
ideathon\images\36_20.jpg,1586.94,278411,952,3808.66
ideathon\images\36_21.jpg,1111.86,195063,667,2668.46
ideathon\images\36_22.jpg,1811.14,317744,1087,4346.74
ideathon\images\36_23.jpg,2176.3,381807,1306,5223.12
ideathon\images\36_24.jpg,2015.01,353511,1209,4836.02
ideathon\images\36_25.jpg,2321.98,407365,1393,5572.75
ideathon\images\36_26.jpg,2109.6,370105,1266,5063.04
ideathon\images\36_27.jpg,5637.6,989053,3383,13530.24
ideathon\images\36_28.jpg,2507.2,439860,1504,6017.28
ideathon\images\36_29.jpg,965.12,169319,579,2316.29
ideathon\images\36_3.jpg,1363.65,239237,818,3272.76
ideathon\images\36_30.jpg,1144.3,200754,687,2746.32
ideathon\images\36_4.jpg,5254.19,921788,3153,12610.06
ideathon\images\36_5.jpg,2386.77,418732,1432,5728.25
ideathon\images\36_6.jpg,2742.09,481068,1645,6581.02
ideathon\images\36_7.jpg,4975.58,872909,2985,11941.39
ideathon\images\36_8.jpg,1288.63,226075,773,3092.71
ideathon\images\36_9.jpg,2427.33,425847,1456,5825.59
ideathon\images\39_1.jpg,2753.48,483067,1652,6608.35
ideathon\images\39_10.jpg,1528.31,268125,917,3667.94
ideathon\images\39_11.jpg,1360.24,238639,816,3264.58
ideathon\images\39_12.jpg,1404.24,246358,843,3370.18
ideathon\images\39_13.jpg,2288.55,401500,1373,5492.52
ideathon\images\39_14.jpg,773.19,135647,464,1855.66
ideathon\images\39_15.jpg,413.03,72461,248,991.27
ideathon\images\39_16.jpg,1877.11,329318,1126,4505.06
ideathon\images\39_17.jpg,816.45,143237,490,1959.48
ideathon\images\39_18.jpg,1523.75,267325,914,3657.0
ideathon\images\39_19.jpg,2260.56,396589,1356,5425.34
ideathon\images\39_2.jpg,1866.6,327474,1120,4479.84
ideathon\images\39_20.jpg,3680.56,645712,2208,8833.34
ideathon\images\39_21.jpg,529.47,92889,318,1270.73
ideathon\images\39_22.jpg,2322.92,407530,1394,5575.01
ideathon\images\39_23.jpg,1122.56,196940,674,2694.14
ideathon\images\39_24.jpg,2202.84,386463,1322,5286.82
ideathon\images\39_25.jpg,3179.87,557872,1908,7631.69
ideathon\images\39_26.jpg,2910.68,510646,1746,6985.63
ideathon\images\39_27.jpg,1521.22,266881,913,3650.93
ideathon\images\39_28.jpg,1323.69,232226,794,3176.86
ideathon\images\39_29.jpg,1096.26,192326,658,2631.02
ideathon\images\39_3.jpg,2386.77,418732,1432,5728.25
ideathon\images\39_30.jpg,416.35,73044,250,999.24
ideathon\images\39_4.jpg,4975.58,872909,2985,11941.39
ideathon\images\39_5.jpg,907.4,159193,544,2177.76
ideathon\images\39_6.jpg,3343.1,586509,2006,8023.44
ideathon\images\39_7.jpg,1242.67,218012,746,2982.41
ideathon\images\39_8.jpg,655.56,115011,393,1573.34
ideathon\images\39_9.jpg,733.05,128605,440,1759.32
ideathon\images\3_1.jpg,1593.11,279493,956,3823.46
ideathon\images\3_10.jpg,1151.33,201988,691,2763.19
ideathon\images\3_11.jpg,961.44,168674,577,2307.46
ideathon\images\3_12.jpg,1187.91,208405,713,2850.98
ideathon\images\3_13.jpg,5632.67,988188,3380,13518.41
ideathon\images\3_14.jpg,1106.63,194146,664,2655.91
ideathon\images\3_15.jpg,907.4,159193,544,2177.76
ideathon\images\3_16.jpg,2611.47,458153,1567,6267.53
ideathon\images\3_17.jpg,2849.01,499826,1709,6837.62
ideathon\images\3_18.jpg,1903.62,333968,1142,4568.69
ideathon\images\3_19.jpg,1117.0,195965,670,2680.8
ideathon\images\3_2.jpg,1000.16,175467,600,2400.38
ideathon\images\3_20.jpg,3868.68,678716,2321,9284.83
ideathon\images\3_21.jpg,1627.82,285582,977,3906.77
ideathon\images\3_22.jpg,2838.59,497998,1703,6812.62
ideathon\images\3_23.jpg,1493.76,262063,896,3585.02
ideathon\images\3_24.jpg,1071.69,188016,643,2572.06
ideathon\images\3_25.jpg,1006.0,176491,604,2414.4
ideathon\images\3_26.jpg,1062.81,186458,638,2550.74
ideathon\images\3_27.jpg,2233.72,391881,1340,5360.93
ideathon\images\3_28.jpg,1480.16,259677,888,3552.38
ideathon\images\3_29.jpg,1274.65,223623,765,3059.16
ideathon\images\3_3.jpg,875.5,153596,525,2101.2
ideathon\images\3_30.jpg,1357.42,238144,814,3257.81
ideathon\images\3_4.jpg,845.23,148286,507,2028.55
ideathon\images\3_5.jpg,1036.41,181826,622,2487.38
ideathon\images\3_6.jpg,694.11,121774,416,1665.86
ideathon\images\3_7.jpg,1288.63,226075,773,3092.71
ideathon\images\3_8.jpg,1089.33,191111,654,2614.39
ideathon\images\3_9.jpg,2318.8,406807,1391,5565.12
ideathon\images\40_1.jpg,1360.7,238719,816,3265.68
ideathon\images\40_10.jpg,2801.53,491496,1681,6723.67
ideathon\images\40_11.jpg,2575.9,451912,1546,6182.16
ideathon\images\40_12.jpg,2588.07,454047,1553,6211.37
ideathon\images\40_13.jpg,1467.07,257381,880,3520.97
ideathon\images\40_14.jpg,1480.16,259677,888,3552.38
ideathon\images\40_15.jpg,1698.31,297949,1019,4075.94
ideathon\images\40_16.jpg,636.0,111579,382,1526.4
ideathon\images\40_17.jpg,518.05,90886,311,1243.32
ideathon\images\40_18.jpg,1956.0,343158,1174,4694.4
ideathon\images\40_19.jpg,2561.65,449412,1537,6147.96
ideathon\images\40_2.jpg,875.5,153596,525,2101.2
ideathon\images\40_20.jpg,1379.56,242028,828,3310.94
ideathon\images\40_21.jpg,615.98,108067,370,1478.35
ideathon\images\40_22.jpg,773.19,135647,464,1855.66
ideathon\images\40_23.jpg,716.52,125705,430,1719.65
ideathon\images\40_24.jpg,2672.76,468905,1604,6414.62
ideathon\images\40_25.jpg,756.39,132700,454,1815.34
ideathon\images\40_26.jpg,538.18,94418,323,1291.63
ideathon\images\40_27.jpg,816.45,143237,490,1959.48
ideathon\images\40_28.jpg,1207.46,211835,724,2897.9
ideathon\images\40_29.jpg,1888.26,331274,1133,4531.82
ideathon\images\40_3.jpg,1688.03,296146,1013,4051.27
ideathon\images\40_30.jpg,1216.58,213435,730,2919.79
ideathon\images\40_4.jpg,1999.88,350856,1200,4799.71
ideathon\images\40_5.jpg,961.44,168674,577,2307.46
ideathon\images\40_6.jpg,3586.16,629151,2152,8606.78
ideathon\images\40_7.jpg,1613.14,283007,968,3871.54
ideathon\images\40_8.jpg,655.56,115011,393,1573.34
ideathon\images\40_9.jpg,2838.59,497998,1703,6812.62
ideathon\images\41_1.jpg,1464.02,256846,878,3513.65
ideathon\images\41_10.jpg,1419.71,249072,852,3407.3
ideathon\images\41_11.jpg,1709.3,299877,1026,4102.32
ideathon\images\41_12.jpg,367.59,64489,221,882.22
ideathon\images\41_13.jpg,1374.18,241084,825,3298.03
ideathon\images\41_14.jpg,4888.39,857612,2933,11732.14
ideathon\images\41_15.jpg,1263.2,221614,758,3031.68
ideathon\images\41_16.jpg,2626.91,460861,1576,6304.58
ideathon\images\41_17.jpg,2069.29,363033,1242,4966.3
ideathon\images\41_18.jpg,1743.01,305791,1046,4183.22
ideathon\images\41_19.jpg,1673.55,293605,1004,4016.52
ideathon\images\41_2.jpg,1207.46,211835,724,2897.9
ideathon\images\41_20.jpg,2567.74,450481,1541,6162.58
ideathon\images\41_21.jpg,1517.71,266265,911,3642.5
ideathon\images\41_22.jpg,1378.73,241882,827,3308.95
ideathon\images\41_23.jpg,732.6,128526,440,1758.24
ideathon\images\41_24.jpg,1917.67,336433,1151,4602.41
ideathon\images\41_25.jpg,1307.89,229454,785,3138.94
ideathon\images\41_26.jpg,911.33,159882,547,2187.19
ideathon\images\41_27.jpg,2393.1,419842,1436,5743.44
ideathon\images\41_28.jpg,3248.97,569995,1949,7797.53
ideathon\images\41_29.jpg,1831.45,321307,1099,4395.48
ideathon\images\41_3.jpg,2046.99,359121,1228,4912.78
ideathon\images\41_30.jpg,1017.57,178521,611,2442.17
ideathon\images\41_4.jpg,1417.7,248719,851,3402.48
ideathon\images\41_5.jpg,1448.03,254040,869,3475.27
ideathon\images\41_6.jpg,967.61,169756,581,2322.26
ideathon\images\41_7.jpg,1206.95,211746,724,2896.68
ideathon\images\41_8.jpg,579.26,101625,348,1390.22
ideathon\images\41_9.jpg,1993.39,349718,1196,4784.14
ideathon\images\42_1.jpg,1789.53,313953,1074,4294.87
ideathon\images\42_10.jpg,1686.37,295854,1012,4047.29
ideathon\images\42_11.jpg,1528.31,268125,917,3667.94
ideathon\images\42_12.jpg,1360.24,238639,816,3264.58
ideathon\images\42_13.jpg,1498.78,262944,899,3597.07
ideathon\images\42_14.jpg,2659.55,466588,1596,6382.92
ideathon\images\42_15.jpg,2661.18,466874,1597,6386.83
ideathon\images\42_16.jpg,2795.99,490525,1678,6710.38
ideathon\images\42_17.jpg,716.52,125705,430,1719.65
ideathon\images\42_18.jpg,413.03,72461,248,991.27
ideathon\images\42_19.jpg,2707.94,475077,1625,6499.06
ideathon\images\42_2.jpg,2386.77,418732,1432,5728.25
ideathon\images\42_20.jpg,9387.78,1646979,5633,22530.67
ideathon\images\42_21.jpg,14120.59,2477296,8472,33889.42
ideathon\images\42_22.jpg,3174.0,556842,1904,7617.6
ideathon\images\42_23.jpg,1125.49,197454,675,2701.18
ideathon\images\42_24.jpg,529.47,92889,318,1270.73
ideathon\images\42_25.jpg,7285.02,1278074,4371,17484.05
ideathon\images\42_26.jpg,1908.36,334800,1145,4580.06
ideathon\images\42_27.jpg,2336.67,409942,1402,5608.01
ideathon\images\42_28.jpg,1975.6,346596,1185,4741.44
ideathon\images\42_29.jpg,2322.92,407530,1394,5575.01
ideathon\images\42_3.jpg,4975.58,872909,2985,11941.39
ideathon\images\42_30.jpg,1034.38,181470,621,2482.51
ideathon\images\42_4.jpg,907.4,159193,544,2177.76
ideathon\images\42_5.jpg,2611.47,458153,1567,6267.53
ideathon\images\42_6.jpg,1242.67,218012,746,2982.41
ideathon\images\42_7.jpg,2753.48,483067,1652,6608.35
ideathon\images\42_8.jpg,655.56,115011,393,1573.34
ideathon\images\42_9.jpg,2241.87,393311,1345,5380.49
ideathon\images\43_1.jpg,2386.77,418732,1432,5728.25
ideathon\images\43_10.jpg,1360.24,238639,816,3264.58
ideathon\images\43_11.jpg,2659.55,466588,1596,6382.92
ideathon\images\43_12.jpg,2561.65,449412,1537,6147.96
ideathon\images\43_13.jpg,1199.84,210498,720,2879.62
ideathon\images\43_14.jpg,3028.56,531326,1817,7268.54
ideathon\images\43_15.jpg,413.03,72461,248,991.27
ideathon\images\43_16.jpg,2672.76,468905,1604,6414.62
ideathon\images\43_17.jpg,2260.56,396589,1356,5425.34
ideathon\images\43_18.jpg,3680.56,645712,2208,8833.34
ideathon\images\43_19.jpg,1978.83,347163,1187,4749.19
ideathon\images\43_2.jpg,4111.76,721361,2467,9868.22
ideathon\images\43_20.jpg,5060.44,887796,3036,12145.06
ideathon\images\43_21.jpg,529.47,92889,318,1270.73
ideathon\images\43_22.jpg,2615.46,458853,1569,6277.1
ideathon\images\43_23.jpg,1958.55,343605,1175,4700.52
ideathon\images\43_24.jpg,2202.84,386463,1322,5286.82
ideathon\images\43_25.jpg,3179.87,557872,1908,7631.69
ideathon\images\43_26.jpg,1702.52,298688,1022,4086.05
